line,type,weekday,id_crime_category,afluency_distribution,crime_frequency
1,Intermedia,1,5,11130.083333333334,1.0
1,Intermedia,1,6,11130.083333333334,10.0
1,Intermedia,1,13,11130.083333333334,1.0
1,Terminal,1,6,40846.0,1.0
1,Terminal,1,13,40846.0,1.0
1,Terminal / Transbordo,1,6,14452.0,2.0
1,Transbordo,1,6,12372.0,7.0
1,Transbordo,1,11,12372.0,1.0
12,Intermedia,1,6,5251.6,6.0
12,Terminal / Transbordo,1,6,3792.0,1.0
12,Transbordo,1,6,3395.3333333333335,1.0
2,Intermedia,1,6,8718.25,7.0
2,Intermedia,1,11,8718.25,1.0
2,Terminal,1,6,34185.5,1.0
2,Transbordo,1,6,9950.833333333334,4.0
3,Intermedia,1,5,5261.5,1.0
3,Intermedia,1,6,5261.5,6.0
3,Intermedia,1,7,5261.5,1.0
3,Terminal,1,6,27867.0,1.0
3,Transbordo,1,6,7914.0,5.0
4,Intermedia,1,6,2296.25,1.0
4,Transbordo,1,5,2241.0,1.0
4,Transbordo,1,6,2241.0,1.0
5,Intermedia,1,6,6524.0,1.0
5,Intermedia,1,13,6524.0,1.0
5,Terminal / Transbordo,1,6,63314.0,2.0
5,Transbordo,1,6,2293.5,2.0
6,Intermedia,1,6,6583.0,3.0
6,Terminal / Transbordo,1,6,7891.0,1.0
7,Intermedia,1,5,4860.222222222223,1.0
7,Intermedia,1,6,4860.222222222223,4.0
7,Terminal / Transbordo,1,6,11986.0,1.0
7,Transbordo,1,5,3810.3333333333335,1.0
7,Transbordo,1,6,3810.3333333333335,3.0
7,Transbordo,1,11,3810.3333333333335,1.0
8,Intermedia,1,6,5656.25,7.0
8,Terminal / Transbordo,1,5,7657.0,1.0
8,Terminal / Transbordo,1,6,7657.0,2.0
8,Transbordo,1,6,4417.8,5.0
8,Transbordo,1,7,4417.8,1.0
9,Intermedia,1,6,6411.714285714285,2.0
9,Terminal / Transbordo,1,6,17054.5,1.0
9,Terminal / Transbordo,1,11,17054.5,1.0
9,Transbordo,1,5,3791.0,1.0
9,Transbordo,1,6,3791.0,1.0
9,Transbordo,1,7,3791.0,1.0
A,Terminal / Transbordo,1,6,6807.0,1.0
A,Terminal / Transbordo,1,11,6807.0,1.0
B,Intermedia,1,6,5372.0,3.0
B,Terminal,1,6,28880.0,1.0
B,Transbordo,1,5,4194.8,1.0
B,Transbordo,1,6,4194.8,6.0
1,Intermedia,2,5,37530.083333333336,1.0
1,Intermedia,2,6,37530.083333333336,9.0
